Devices
1000
,,ForcePlate4 - Force,,,ForcePlate4 - Moment,,,ForcePlate4 - CoP,,,ForcePlate2 - Force,,,ForcePlate2 - Moment,,,ForcePlate2 - CoP,,,ForcePlate1 - Force,,,ForcePlate1 - Moment,,,ForcePlate1 - CoP,,,ForcePlate3 - Force,,,ForcePlate3 - Moment,,,ForcePlate3 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
5,1,0.0283813,0.0152588,0.170899,16.6016,24.2615,7.37001,300,-200,0,-0.00320433,0.0309754,-0.0119018,-4.51661,32.3181,8.01087,-300,200,0,-0.00152588,0.00885012,0.050354,-8.72802,3.02125,10.3455,300,200,0,-0.00381472,-0.00396732,-0.177307,0.976548,35.4309,3.84523,-300,-200,0
6,0,-0.00213628,-0.0457764,0.0488282,16.6015,-12.3596,-1.78526,300,-200,0,-0.0337219,0.0309754,0.0491334,-16.7236,32.3181,-1.1444,-300,200,0,0.0289917,-0.0216675,-0.0717163,-8.72802,76.2635,-7.96508,300,200,0,0.0267029,-0.00396732,0.0668334,13.1836,17.1204,-5.31005,-300,-200,0
6,1,-0.00213628,-0.0152588,0.0488282,28.8086,5.95093,16.5253,300,-200,0,-0.00320432,-0.0605774,-0.133972,44.3115,14.0076,-1.1444,-300,200,0,-0.00152588,-0.0216675,0.050354,3.47901,-15.2893,10.3455,300,200,0,0.0267029,-0.00396732,0.00579825,-11.2305,17.1204,3.84523,-300,-200,0
7,0,-0.0326539,0.0457764,-0.0732421,4.39452,5.95093,7.37001,300,-200,0,0.0578308,-0.0605774,0.110169,7.69042,-4.30297,-1.1444,-300,200,0,-0.00152588,0.00885012,-0.0717163,3.47901,21.3318,-7.96508,300,200,0,0.0572204,0.0570678,0.127869,0.97655,17.1204,-5.31005,-300,-200,0
7,1,-0.0326539,0.0152588,-0.012207,4.39452,5.95093,-1.78526,300,-200,0,0.0578308,0.000457781,0.0491334,-16.7236,-4.30298,-10.2997,-300,200,0,-0.0320435,-0.0216675,0.050354,3.47901,-15.2893,1.1902,300,200,0,0.0572204,-0.00396732,-0.0552369,-11.2305,-19.5007,-5.31005,-300,-200,0
8,0,0.0283813,-0.0152588,-0.0732421,41.0156,-12.3596,-1.78526,300,-200,0,-0.0337219,0.0309754,-0.0119018,7.69042,-4.30297,-10.2997,-300,200,0,-0.00152588,0.0393677,-0.0106812,3.47901,-15.2893,19.5007,300,200,0,-0.00381472,-0.0344849,0.0668334,-60.0586,17.1204,-5.31005,-300,-200,0
8,1,-0.0326539,0.0457764,0.0488282,16.6016,24.2615,-20.0958,300,-200,0,0.0273133,-0.0300598,-0.256042,7.69042,-4.30297,8.01087,-300,200,0,-0.00152588,-0.0216675,-0.132751,3.47901,3.02125,-7.96508,300,200,0,0.0267029,0.0265503,0.00579825,0.97655,17.1204,22.1558,-300,-200,0
9,0,0.0588989,-0.0457764,-0.012207,16.6016,24.2615,-10.9405,300,-200,0,-0.00320432,-0.0300598,0.0491334,7.69042,-4.30297,-1.1444,-300,200,0,0.0289917,0.00885012,-0.0717163,-8.72802,3.02125,10.3455,300,200,0,-0.0343323,-0.0650025,0.0668334,-23.4375,17.1204,3.84523,-300,-200,0
9,1,0.0283813,0.0152588,0.109863,-20.0195,-12.3596,7.37001,300,-200,0,-0.0337219,-0.0605774,-0.133972,-16.7236,14.0076,-1.1444,-300,200,0,-0.0320435,-0.0216675,0.111389,-8.72802,3.02125,-7.96508,300,200,0,-0.0343323,0.0265503,0.0668334,0.976553,-19.5007,-5.31005,-300,-200,0
10,0,0.0283813,0.0152588,0.0488282,-7.81251,-12.3596,7.37001,300,-200,0,0.0273133,0.0309754,-0.0119018,-4.51661,-4.30297,-1.1444,-300,200,0,-0.0320435,0.0393677,-0.0717163,-8.72802,3.02125,10.3455,300,200,0,-0.00381472,-0.0344849,0.0668334,13.1836,-37.8113,-5.31005,-300,-200,0
10,1,0.0588989,-0.0457764,0.0488282,28.8086,5.95093,-10.9405,300,-200,0,-0.00320432,-0.0300598,0.0491334,19.8975,-22.6135,-1.1444,-300,200,0,0.0289917,0.00885012,-0.0106812,3.47901,21.3318,10.3455,300,200,0,0.0267029,-0.00396732,0.0668334,-11.2305,17.1204,-5.31005,-300,-200,0
